"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"697059","전세",73.41,201706,"13",14000,0,3,"1992","연립다세대","2017","06","안산단원구"
"1384498","월세",50,201902,"14",3000,40,1,"1994","단독다가구","2019","02","성남분당구"
"1261683","전세",84.51,201910,"24",42000,0,14,"1992","아파트","2019","10","안양동안구"
"429573","전세",147.0694,201711,"5",26000,0,8,"2015","아파트","2017","11","남양주시"
"1261675","월세",84.51,201907,"18",8000,85,11,"1992","아파트","2019","07","안양동안구"
"626732","전세",40,201704,"28",4000,0,1,"1994","단독다가구","2017","04","안산단원구"
"334896","전세",33.64,201605,"30",4000,0,2,"2014","연립다세대","2016","05","시흥시"
"871557","전세",55.5927,201801,"6",9000,0,12,"2002","아파트","2018","01","양주시"
"1205525","전세",82.794,201904,"23",56000,0,9,"2009","아파트","2019","04","성남분당구"
"1283264","전세",109.838,201902,"20",26500,0,7,"2002","아파트","2019","02","용인기흥구"
"1034982","월세",24,201801,"15",1000,50,1,"2011","단독다가구","2018","01","의왕시"
"1471994","전세",38.9,201908,"10",13500,0,2,"2001","연립다세대","2019","08","부천시"
"121854","전세",42.615,201612,"9",18000,0,11,"1993","아파트","2016","12","안양동안구"
"1231625","전세",135.74,201902,"8",24249,0,5,"2013","아파트","2019","02","수원영통구"
"279830","월세",23,201605,"30",3500,5,1,"2004","단독다가구","2016","05","여주시"
"47079","월세",84.979,201604,"23",18500,22,12,"2014","아파트","2016","04","김포시"
"350723","전세",51.76,201611,"8",12000,0,1,"2014","연립다세대","2016","11","파주시"
"278783","전세",105,201607,"17",24000,0,1,"null","단독다가구","2016","07","양평군"
"279056","월세",157.17,201609,"12",5000,70,1,"1998","단독다가구","2016","09","양평군"
"694297","전세",36.73,201701,"20",15000,0,2,"2017","연립다세대","2017","01","수원팔달구"
"276822","전세",37,201602,"17",8000,0,1,"null","단독다가구","2016","02","안양만안구"
"408350","전세",58.46,201702,"24",18000,0,14,"1994","아파트","2017","02","군포시"
"854954","전세",88.957,201807,"25",20000,0,2,"2005","아파트","2018","07","안산상록구"
"485381","전세",49.48,201703,"10",21000,0,7,"2003","아파트","2017","03","안양동안구"
"848476","월세",48.45,201810,"15",1000,50,7,"1999","아파트","2018","10","시흥시"
"809292","전세",53.46,201803,"3",26000,0,5,"1996","아파트","2018","03","성남분당구"
"1233601","전세",84.957,201910,"5",38000,0,23,"2013","아파트","2019","10","수원장안구"
"285275","월세",87.92,201609,"2",2000,60,1,"1976","단독다가구","2016","09","용인기흥구"
"1005866","월세",16.52,201803,"20",100,12,1,"1979","단독다가구","2018","03","수원팔달구"
"446117","전세",84.72,201702,"24",45000,0,5,"1992","아파트","2017","02","성남분당구"
"18477","전세",145.829,201604,"22",43000,0,31,"2013","아파트","2016","04","고양일산서구"
"1136651","전세",84.69,201906,"16",30000,0,2,"1994","아파트","2019","06","고양일산동구"
"260771","월세",151.57,201607,"18",2000,60,1,"2006","단독다가구","2016","07","수원팔달구"
